Cap waktu,Nama/inisial,Nomor Induk Mahasiswa (NIM) ,Angkatan,Jenis Kelamin,  Berapa rata-rata durasi Anda menggunakan media sosial dalam sehari?  ,Seberapa sering Anda membuka media sosial dalam satu hari? ,Pada waktu kapan Anda paling sering mengakses media sosial? ,Platform media sosial apa yang paling sering Anda gunakan? ,Apakah Anda sering mengecek notifikasi media sosial saat sedang belajar/mengerjakan tugas?  ,Saya sering menunda waktu untuk mulai mengerjakan tugas kuliah.  ,Saya merasa malas jika harus mengerjakan tugas yang menurut saya sulit.  ,Saya sering terlambat mengumpulkan tugas karena manajemen waktu yang buruk.  ,"Saya sering membuat rencana belajar, tetapi gagal melaksanakannya.  ",Saya sering berhenti mengerjakan tugas di tengah jalan untuk melakukan aktivitas lain yang tidak berkaitan dengan tugas akademik. ,Saya butuh waktu lama untuk mengumpulkan niat sebelum mulai belajar.  ,Saya lebih memilih mengakses media sosial daripada mengerjakan tugas. ,"Saya sering merasa bersalah setelah menunda tugas, tetapi tetap mengulangi kebiasaan tersebut. ",Saya mengalihkan perhatian pada aktivitas hiburan digital ketika merasa bosan atau mengalami kesulitan saat mengerjakan tugas. ,Saya sering menunda mengerjakan tugas karena merasa masih memiliki banyak waktu sebelum batas pengumpulan tugas. ,Skor,Target
2026/07/02 10:25:56 AM GMT+7,H,23,2022,Laki - Laki,b. 1-3 jam,d. (> 20 kali / Hampir setiap saat),b. Siang hari (Istirahat kuliah),b. TikTok,c. Sering,2,1,2.0,3,4,4,2,1,3,3,25.0,Sedang
2026/07/02 10:26:49 AM GMT+7,Y,24,2024,Laki - Laki,d. > 5 Jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),b. TikTok,d. Selalu,3,1,4.0,2,3,2,4,1,4,3,27.0,Sedang
2026/07/02 10:28:49 AM GMT+7,Gy,24862922,2024,Laki - Laki,d. > 5 Jam,b. (5 - 10 kali),d. Tengah malam (Begadang),e. WhatsApp,c. Sering,3,3,4.0,4,4,4,3,4,1,4,34.0,Tinggi
2026/07/02 10:30:05 AM GMT+7,sjgs,249363973,2024,Laki - Laki,c. 3 - 5 Jam,d. (> 20 kali / Hampir setiap saat),c. Malam hari (Sebelum tidur),b. TikTok,c. Sering,4,4,3.0,3,4,3,1,4,4,3,33.0,Tinggi
2026/07/02 10:31:08 AM GMT+7,Yz,2386382),2023,Laki - Laki,c. 3 - 5 Jam,c. (11 - 20 kali),d. Tengah malam (Begadang),e. WhatsApp,d. Selalu,4,4,3.0,3,3,4,4,4,4,4,37.0,Tinggi
2026/07/02 10:31:55 AM GMT+7,Yf,25,2025,Laki - Laki,c. 3 - 5 Jam,d. (> 20 kali / Hampir setiap saat),d. Tengah malam (Begadang),e. WhatsApp,b. Jarang,3,3,3.0,3,3,1,2,2,4,4,28.0,Sedang
2026/07/02 10:33:08 AM GMT+7,as,231212,2023,Laki - Laki,c. 3 - 5 Jam,d. (> 20 kali / Hampir setiap saat),d. Tengah malam (Begadang),b. TikTok,b. Jarang,2,2,2.0,3,3,3,3,3,3,3,27.0,Sedang
2026/07/02 10:34:13 AM GMT+7,uh,243465,2024,Laki - Laki,d. > 5 Jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),b. TikTok,c. Sering,2,2,3.0,3,1,2,3,3,3,3,25.0,Sedang
2026/06/27 12:54:43 AM GMT+7,KH. Raharja Halimah,2243321819,2022,Laki - Laki,c. 3 - 5 Jam,c. (11 - 20 kali),d. Tengah malam (Begadang),e. WhatsApp,b. Jarang,1,2,3.0,2,2,3,2,2,3,3,23.0,Sedang
2026/06/30 12:51:06 AM GMT+7,Danuja Utama,2215594078,2022,Laki - Laki,a. < 1 jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),a. Instagram,d. Selalu,2,3,3.0,2,2,2,2,1,3,4,24.0,Sedang
2026/06/29 10:33:08 PM GMT+7,Liman Firgantoro,2234192832,2022,Laki - Laki,c. 3 - 5 Jam,a. (< 5 kali),b. Siang hari (Istirahat kuliah),e. WhatsApp,c. Sering,1,3,2.0,2,3,3,2,4,2,3,25.0,Sedang
2026/06/28 02:59:32 PM GMT+7,Victoria Simanjuntak,2272423884,2022,Perempuan,c. 3 - 5 Jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),d. YouTube,b. Jarang,2,4,1.0,3,4,1,1,4,3,4,27.0,Sedang
2026/06/29 10:01:30 AM GMT+7,Ir. Najib Thamrin,2218451462,2022,Laki - Laki,a. < 1 jam,a. (< 5 kali),c. Malam hari (Sebelum tidur),b. TikTok,b. Jarang,4,1,3.0,2,2,3,1,4,2,4,26.0,Sedang
2026/07/01 08:35:59 AM GMT+7,Queen Prayoga,2201543039,2022,Perempuan,c. 3 - 5 Jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),a. Instagram,a. Tidak Pernah,3,2,4.0,3,1,4,4,4,2,3,30.0,Sedang
2026/06/29 03:13:49 PM GMT+7,"Lala Haryanto, S.H.",2257871331,2022,Laki - Laki,b. 1-3 jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),e. WhatsApp,a. Tidak Pernah,3,1,1.0,3,4,1,4,3,1,4,25.0,Sedang
2026/06/28 08:06:00 PM GMT+7,Kayla Halim,2263116566,2022,Laki - Laki,d. > 5 Jam,d. (> 20 kali / Hampir setiap saat),a. Pagi hari,e. WhatsApp,c. Sering,2,1,3.0,3,3,4,4,3,1,4,28.0,Sedang
2026/06/28 12:52:49 AM GMT+7,Harjasa Marbun,2280132677,2022,Laki - Laki,c. 3 - 5 Jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),d. YouTube,b. Jarang,1,2,4.0,1,1,1,1,3,4,1,19.0,Rendah
2026/06/27 04:22:27 AM GMT+7,"Syahrini Sudiati, S.Kom",2250097882,2022,Laki - Laki,b. 1-3 jam,a. (< 5 kali),c. Malam hari (Sebelum tidur),e. WhatsApp,d. Selalu,2,1,4.0,4,4,3,1,4,4,3,30.0,Sedang
2026/06/26 05:36:15 AM GMT+7,Cecep Nuraini,2246247510,2022,Laki - Laki,a. < 1 jam,a. (< 5 kali),c. Malam hari (Sebelum tidur),e. WhatsApp,b. Jarang,4,1,1.0,4,4,2,1,4,1,2,24.0,Sedang
2026/07/01 06:03:55 AM GMT+7,Mariadi Budiyanto,2241241182,2022,Laki - Laki,b. 1-3 jam,d. (> 20 kali / Hampir setiap saat),c. Malam hari (Sebelum tidur),a. Instagram,b. Jarang,2,1,2.0,3,3,3,4,2,2,3,25.0,Sedang
2026/06/26 01:20:45 PM GMT+7,Winda Uyainah,2268011280,2022,Perempuan,b. 1-3 jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),b. TikTok,d. Selalu,1,1,1.0,3,4,3,1,1,3,4,22.0,Sedang
2026/06/30 08:01:20 PM GMT+7,Asmianto Nugroho,2226025634,2022,Laki - Laki,d. > 5 Jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),b. TikTok,b. Jarang,4,3,2.0,1,4,1,3,3,4,2,27.0,Sedang
2026/06/29 07:24:05 AM GMT+7,Jaya Aryani,2285014294,2022,Laki - Laki,b. 1-3 jam,c. (11 - 20 kali),b. Siang hari (Istirahat kuliah),b. TikTok,d. Selalu,3,1,3.0,3,3,4,2,2,1,2,24.0,Sedang
2026/06/30 04:29:26 PM GMT+7,Maryanto Hassanah,2259514846,2022,Laki - Laki,b. 1-3 jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),a. Instagram,c. Sering,1,3,4.0,4,1,4,4,2,3,3,29.0,Sedang
2026/06/28 01:13:17 PM GMT+7,"Drs. Ajiman Wastuti, S.Psi",2287214895,2022,Laki - Laki,a. < 1 jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),c. Twitter (X),b. Jarang,3,1,2.0,2,3,2,1,2,3,4,23.0,Sedang
2026/06/30 07:12:30 AM GMT+7,drg. Bala Novitasari,2216328708,2022,Laki - Laki,d. > 5 Jam,b. (5 - 10 kali),b. Siang hari (Istirahat kuliah),a. Instagram,d. Selalu,2,1,1.0,2,2,4,2,4,1,2,21.0,Sedang
2026/06/28 01:39:42 PM GMT+7,Timbul Permadi,2234873471,2022,Perempuan,c. 3 - 5 Jam,c. (11 - 20 kali),b. Siang hari (Istirahat kuliah),e. WhatsApp,b. Jarang,2,3,3.0,4,3,4,4,2,3,2,30.0,Sedang
2026/06/27 03:01:34 AM GMT+7,"Putri Maryati, S.Pd",2296705466,2022,Laki - Laki,d. > 5 Jam,d. (> 20 kali / Hampir setiap saat),b. Siang hari (Istirahat kuliah),b. TikTok,b. Jarang,2,2,2.0,2,2,2,2,1,3,1,19.0,Rendah
2026/06/27 09:14:29 AM GMT+7,Gawati Pratiwi,2216272046,2022,Laki - Laki,b. 1-3 jam,c. (11 - 20 kali),b. Siang hari (Istirahat kuliah),e. WhatsApp,d. Selalu,2,4,4.0,2,4,2,4,3,1,3,29.0,Sedang
2026/07/01 08:43:37 PM GMT+7,Citra Safitri,2209232719,2022,Perempuan,b. 1-3 jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),a. Instagram,d. Selalu,1,4,3.0,4,3,2,1,1,3,1,23.0,Sedang
2026/07/01 01:18:46 AM GMT+7,R.M. Raditya Marbun,2231491905,2022,Laki - Laki,b. 1-3 jam,c. (11 - 20 kali),d. Tengah malam (Begadang),e. WhatsApp,c. Sering,2,2,4.0,1,3,3,4,4,2,4,29.0,Sedang
2026/06/27 12:27:03 PM GMT+7,Jamal Nugroho,2294531473,2022,Perempuan,b. 1-3 jam,d. (> 20 kali / Hampir setiap saat),c. Malam hari (Sebelum tidur),b. TikTok,c. Sering,2,2,3.0,3,2,2,3,4,4,3,28.0,Sedang
2026/06/28 12:20:42 PM GMT+7,"Dalimin Palastri, S.Gz",2237770143,2022,Laki - Laki,c. 3 - 5 Jam,d. (> 20 kali / Hampir setiap saat),c. Malam hari (Sebelum tidur),b. TikTok,c. Sering,4,2,4.0,4,4,3,1,3,2,1,28.0,Sedang
2026/06/26 10:44:17 PM GMT+7,"Cut Restu Thamrin, S.I.Kom",2274989413,2022,Laki - Laki,c. 3 - 5 Jam,c. (11 - 20 kali),b. Siang hari (Istirahat kuliah),e. WhatsApp,b. Jarang,3,3,1.0,2,2,3,4,3,3,4,28.0,Sedang
2026/07/01 07:01:00 PM GMT+7,Bella Rahimah,2211671902,2022,Laki - Laki,b. 1-3 jam,c. (11 - 20 kali),a. Pagi hari,e. WhatsApp,a. Tidak Pernah,2,4,3.0,4,3,4,2,1,4,4,31.0,Tinggi
2026/06/27 04:49:42 AM GMT+7,Janet Riyanti,2233412328,2022,Laki - Laki,c. 3 - 5 Jam,b. (5 - 10 kali),d. Tengah malam (Begadang),e. WhatsApp,b. Jarang,1,4,4.0,2,1,2,1,2,1,4,22.0,Sedang
2026/06/27 08:15:21 PM GMT+7,Lutfan Prakasa,2242102499,2022,Perempuan,c. 3 - 5 Jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),b. TikTok,b. Jarang,2,2,2.0,1,2,1,4,3,2,1,20.0,Rendah
2026/06/28 03:07:47 AM GMT+7,"R.M. Wakiman Damanik, S.Kom",2249027874,2022,Laki - Laki,b. 1-3 jam,b. (5 - 10 kali),d. Tengah malam (Begadang),e. WhatsApp,c. Sering,2,4,1.0,4,2,3,2,2,3,4,27.0,Sedang
2026/06/29 07:36:23 PM GMT+7,Luthfi Salahudin,2268087603,2022,Laki - Laki,b. 1-3 jam,b. (5 - 10 kali),d. Tengah malam (Begadang),e. WhatsApp,b. Jarang,3,3,1.0,4,4,1,2,2,4,3,27.0,Sedang
2026/06/29 01:41:37 AM GMT+7,Unggul Haryanti,2217127484,2022,Laki - Laki,b. 1-3 jam,b. (5 - 10 kali),d. Tengah malam (Begadang),e. WhatsApp,b. Jarang,2,4,3.0,3,2,2,3,2,4,3,28.0,Sedang
2026/06/26 06:02:53 PM GMT+7,Ghaliyati Dongoran,2297278755,2022,Laki - Laki,b. 1-3 jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),e. WhatsApp,a. Tidak Pernah,2,3,2.0,3,2,1,2,4,2,2,23.0,Sedang
2026/06/30 12:54:22 PM GMT+7,Ir. Citra Usamah,2289517187,2022,Laki - Laki,c. 3 - 5 Jam,a. (< 5 kali),a. Pagi hari,e. WhatsApp,a. Tidak Pernah,3,4,4.0,3,3,1,3,1,2,1,25.0,Sedang
2026/06/28 10:53:51 AM GMT+7,Zulfa Waluyo,2213431611,2022,Laki - Laki,b. 1-3 jam,a. (< 5 kali),c. Malam hari (Sebelum tidur),c. Twitter (X),b. Jarang,2,3,4.0,4,2,3,4,1,2,3,28.0,Sedang
2026/06/27 11:42:01 PM GMT+7,Ratna Sihotang,2247407482,2022,Laki - Laki,a. < 1 jam,a. (< 5 kali),c. Malam hari (Sebelum tidur),d. YouTube,a. Tidak Pernah,2,3,1.0,1,4,4,3,3,2,3,26.0,Sedang
2026/06/26 03:39:30 PM GMT+7,Mahesa Sihombing,2290974395,2022,Laki - Laki,c. 3 - 5 Jam,c. (11 - 20 kali),b. Siang hari (Istirahat kuliah),c. Twitter (X),a. Tidak Pernah,3,3,2.0,3,2,3,3,3,1,3,26.0,Sedang
2026/06/28 10:44:22 PM GMT+7,Galiono Adriansyah,2285884247,2022,Perempuan,c. 3 - 5 Jam,a. (< 5 kali),b. Siang hari (Istirahat kuliah),b. TikTok,b. Jarang,1,3,2.0,2,3,2,3,3,3,3,25.0,Sedang
2026/07/01 01:32:47 PM GMT+7,H. Dariati Rahmawati,2249651370,2022,Perempuan,a. < 1 jam,c. (11 - 20 kali),d. Tengah malam (Begadang),a. Instagram,a. Tidak Pernah,2,4,2.0,3,4,3,2,3,4,4,31.0,Tinggi
2026/06/28 01:32:48 PM GMT+7,Enteng Mangunsong,2286926179,2022,Laki - Laki,a. < 1 jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),b. TikTok,d. Selalu,4,3,2.0,4,1,4,3,3,4,1,29.0,Sedang
2026/06/29 01:14:17 AM GMT+7,Kasim Prayoga,2390053293,2023,Laki - Laki,d. > 5 Jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),c. Twitter (X),c. Sering,3,1,3.0,1,4,3,4,3,2,3,27.0,Sedang
2026/07/01 04:05:40 PM GMT+7,"Bancar Winarno, S.Farm",2339502402,2023,Perempuan,b. 1-3 jam,d. (> 20 kali / Hampir setiap saat),d. Tengah malam (Begadang),c. Twitter (X),c. Sering,3,2,1.0,3,2,2,3,4,1,3,24.0,Sedang
2026/06/28 03:28:47 PM GMT+7,Garda Puspasari,2317711592,2023,Laki - Laki,c. 3 - 5 Jam,b. (5 - 10 kali),d. Tengah malam (Begadang),b. TikTok,d. Selalu,2,2,2.0,3,2,2,1,2,2,3,21.0,Sedang
2026/06/28 08:30:09 PM GMT+7,"Ir. Laila Yuniar, S.Psi",2376615654,2023,Laki - Laki,c. 3 - 5 Jam,a. (< 5 kali),c. Malam hari (Sebelum tidur),c. Twitter (X),b. Jarang,3,4,2.0,4,3,1,3,3,3,2,28.0,Sedang
2026/06/28 04:53:12 AM GMT+7,Soleh Lazuardi,2394519832,2023,Perempuan,c. 3 - 5 Jam,c. (11 - 20 kali),b. Siang hari (Istirahat kuliah),b. TikTok,a. Tidak Pernah,2,4,2.0,1,2,1,1,3,1,2,19.0,Rendah
2026/06/30 03:45:13 AM GMT+7,Maya Prasetya,2345502296,2023,Laki - Laki,d. > 5 Jam,a. (< 5 kali),c. Malam hari (Sebelum tidur),b. TikTok,c. Sering,2,3,4.0,4,1,1,2,3,2,3,25.0,Sedang
2026/07/01 07:27:48 PM GMT+7,Cahyanto Siregar,2367976438,2023,Laki - Laki,c. 3 - 5 Jam,c. (11 - 20 kali),d. Tengah malam (Begadang),b. TikTok,a. Tidak Pernah,3,2,2.0,3,4,3,4,3,4,3,31.0,Tinggi
2026/06/26 02:45:22 PM GMT+7,Sabrina Pradana,2368388516,2023,Perempuan,c. 3 - 5 Jam,c. (11 - 20 kali),b. Siang hari (Istirahat kuliah),c. Twitter (X),c. Sering,2,4,4.0,3,4,4,2,4,1,1,29.0,Sedang
2026/07/01 02:02:24 PM GMT+7,"Bakidin Wahyuni, M.Farm",2336968164,2023,Perempuan,c. 3 - 5 Jam,d. (> 20 kali / Hampir setiap saat),c. Malam hari (Sebelum tidur),a. Instagram,c. Sering,3,4,4.0,1,2,3,4,3,4,3,31.0,Tinggi
2026/06/27 01:44:41 AM GMT+7,Narji Hartati,2377997995,2023,Perempuan,b. 1-3 jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),b. TikTok,c. Sering,3,3,4.0,4,3,3,2,3,1,1,27.0,Sedang
2026/06/27 08:24:06 AM GMT+7,Manah Maheswara,2379807935,2023,Laki - Laki,b. 1-3 jam,a. (< 5 kali),d. Tengah malam (Begadang),c. Twitter (X),d. Selalu,4,3,2.0,3,2,2,3,4,3,1,27.0,Sedang
2026/06/28 02:07:09 PM GMT+7,"Ganep Laksmiwati, S.T.",2390515186,2023,Laki - Laki,d. > 5 Jam,d. (> 20 kali / Hampir setiap saat),b. Siang hari (Istirahat kuliah),c. Twitter (X),c. Sering,2,3,4.0,1,2,4,1,1,4,4,26.0,Sedang
2026/06/29 11:13:46 PM GMT+7,Raisa Haryanto,2381685054,2023,Laki - Laki,c. 3 - 5 Jam,a. (< 5 kali),d. Tengah malam (Begadang),e. WhatsApp,b. Jarang,3,4,3.0,2,1,2,4,4,2,3,28.0,Sedang
2026/06/28 11:46:19 PM GMT+7,Kezia Marpaung,2392706537,2023,Perempuan,d. > 5 Jam,d. (> 20 kali / Hampir setiap saat),c. Malam hari (Sebelum tidur),e. WhatsApp,d. Selalu,1,1,3.0,2,3,4,1,2,3,4,24.0,Sedang
2026/06/30 09:04:52 PM GMT+7,drg. Enteng Saefullah,2324075818,2023,Perempuan,c. 3 - 5 Jam,d. (> 20 kali / Hampir setiap saat),c. Malam hari (Sebelum tidur),c. Twitter (X),b. Jarang,2,1,3.0,4,3,3,4,4,4,1,29.0,Sedang
2026/06/29 08:55:10 PM GMT+7,"R. Tira Najmudin, S.IP",2315220472,2023,Perempuan,b. 1-3 jam,b. (5 - 10 kali),b. Siang hari (Istirahat kuliah),e. WhatsApp,b. Jarang,3,1,2.0,4,2,3,4,3,2,4,28.0,Sedang
2026/07/02 12:02:33 AM GMT+7,Chelsea Rahayu,2379808932,2023,Laki - Laki,c. 3 - 5 Jam,c. (11 - 20 kali),d. Tengah malam (Begadang),e. WhatsApp,a. Tidak Pernah,2,2,1.0,4,2,4,4,1,4,4,28.0,Sedang
2026/06/29 07:09:29 PM GMT+7,Wakiman Kuswandari,2351531952,2023,Laki - Laki,b. 1-3 jam,d. (> 20 kali / Hampir setiap saat),c. Malam hari (Sebelum tidur),c. Twitter (X),c. Sering,1,4,2.0,3,2,4,3,3,4,3,29.0,Sedang
2026/06/29 11:30:38 AM GMT+7,Ir. Siti Aryani,2387403450,2023,Perempuan,c. 3 - 5 Jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),c. Twitter (X),a. Tidak Pernah,4,2,1.0,4,3,2,3,2,2,3,26.0,Sedang
2026/06/27 10:22:12 PM GMT+7,Daliono Hidayat,2351154479,2023,Perempuan,c. 3 - 5 Jam,b. (5 - 10 kali),d. Tengah malam (Begadang),a. Instagram,d. Selalu,2,2,2.0,2,4,1,3,4,2,3,25.0,Sedang
2026/07/01 11:01:52 PM GMT+7,Dirja Rajata,2370213556,2023,Perempuan,c. 3 - 5 Jam,c. (11 - 20 kali),d. Tengah malam (Begadang),b. TikTok,c. Sering,3,3,4.0,4,4,2,4,3,3,1,31.0,Tinggi
2026/07/01 07:07:14 PM GMT+7,Darimin Halimah,2373947312,2023,Perempuan,b. 1-3 jam,a. (< 5 kali),d. Tengah malam (Begadang),e. WhatsApp,a. Tidak Pernah,4,3,4.0,3,3,2,2,2,1,4,28.0,Sedang
2026/06/29 11:42:23 AM GMT+7,Gabriella Maryadi,2332370589,2023,Laki - Laki,d. > 5 Jam,b. (5 - 10 kali),d. Tengah malam (Begadang),e. WhatsApp,c. Sering,4,4,4.0,2,2,3,2,2,3,2,28.0,Sedang
2026/06/29 10:59:37 PM GMT+7,Harsana Samosir,2389226801,2023,Laki - Laki,c. 3 - 5 Jam,c. (11 - 20 kali),a. Pagi hari,e. WhatsApp,d. Selalu,2,3,3.0,3,1,3,1,4,4,4,28.0,Sedang
2026/06/27 09:47:20 AM GMT+7,Suci Hasanah,2399590010,2023,Perempuan,d. > 5 Jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),b. TikTok,a. Tidak Pernah,3,1,4.0,2,4,3,2,4,3,2,28.0,Sedang
2026/06/30 01:30:00 PM GMT+7,"T. Gara Wastuti, M.Pd",2373592555,2023,Perempuan,c. 3 - 5 Jam,b. (5 - 10 kali),d. Tengah malam (Begadang),b. TikTok,c. Sering,3,3,3.0,3,3,1,4,1,4,3,28.0,Sedang
2026/06/27 04:36:18 AM GMT+7,Cornelia Widiastuti,2327877470,2023,Laki - Laki,c. 3 - 5 Jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),b. TikTok,b. Jarang,3,2,2.0,2,4,3,4,3,4,4,31.0,Tinggi
2026/06/28 04:54:05 PM GMT+7,Widya Siregar,2309835841,2023,Laki - Laki,b. 1-3 jam,b. (5 - 10 kali),b. Siang hari (Istirahat kuliah),a. Instagram,a. Tidak Pernah,3,3,4.0,1,3,4,4,4,3,3,32.0,Tinggi
2026/07/01 11:11:09 PM GMT+7,drg. Bakijan Namaga,2378729825,2023,Perempuan,c. 3 - 5 Jam,b. (5 - 10 kali),d. Tengah malam (Begadang),c. Twitter (X),a. Tidak Pernah,2,2,4.0,4,3,3,3,3,3,3,30.0,Sedang
2026/06/26 05:16:29 AM GMT+7,Cut Natalia Haryanto,2397499309,2023,Laki - Laki,b. 1-3 jam,d. (> 20 kali / Hampir setiap saat),b. Siang hari (Istirahat kuliah),b. TikTok,a. Tidak Pernah,3,2,2.0,3,3,4,3,3,3,4,30.0,Sedang
2026/06/28 04:10:27 AM GMT+7,Hani Sitorus,2328385786,2023,Laki - Laki,c. 3 - 5 Jam,a. (< 5 kali),c. Malam hari (Sebelum tidur),b. TikTok,a. Tidak Pernah,1,4,2.0,2,4,3,3,3,1,3,26.0,Sedang
2026/06/29 05:42:46 AM GMT+7,"Lembah Sihotang, S.E.",2375758441,2023,Laki - Laki,b. 1-3 jam,a. (< 5 kali),c. Malam hari (Sebelum tidur),b. TikTok,a. Tidak Pernah,3,3,1.0,3,1,1,1,3,1,3,20.0,Rendah
2026/06/27 05:39:22 AM GMT+7,Vivi Purwanti,2319933083,2023,Perempuan,c. 3 - 5 Jam,b. (5 - 10 kali),b. Siang hari (Istirahat kuliah),e. WhatsApp,a. Tidak Pernah,3,2,1.0,4,1,2,3,3,1,3,23.0,Sedang
2026/06/27 01:57:41 AM GMT+7,Putri Permata,2319380262,2023,Perempuan,c. 3 - 5 Jam,d. (> 20 kali / Hampir setiap saat),b. Siang hari (Istirahat kuliah),e. WhatsApp,a. Tidak Pernah,4,3,3.0,3,2,2,3,4,2,4,30.0,Sedang
2026/06/30 11:27:13 AM GMT+7,Eva Wijayanti,2331527420,2023,Perempuan,d. > 5 Jam,b. (5 - 10 kali),b. Siang hari (Istirahat kuliah),e. WhatsApp,d. Selalu,4,4,4.0,3,2,3,4,3,4,3,34.0,Tinggi
2026/06/30 01:08:13 PM GMT+7,"R.A. Zalindra Suryatmi, M.Ak",2354990453,2023,Laki - Laki,c. 3 - 5 Jam,c. (11 - 20 kali),d. Tengah malam (Begadang),b. TikTok,d. Selalu,1,3,3.0,1,4,1,4,3,4,2,26.0,Sedang
2026/06/27 04:29:46 PM GMT+7,Ir. Yance Usamah,2387833918,2023,Laki - Laki,d. > 5 Jam,c. (11 - 20 kali),d. Tengah malam (Begadang),e. WhatsApp,c. Sering,2,2,3.0,4,3,3,4,4,4,4,33.0,Tinggi
2026/07/01 01:47:58 PM GMT+7,Farah Adriansyah,2367908740,2023,Laki - Laki,d. > 5 Jam,d. (> 20 kali / Hampir setiap saat),d. Tengah malam (Begadang),e. WhatsApp,c. Sering,3,1,1.0,3,1,3,3,2,2,1,20.0,Rendah
2026/06/26 02:32:33 PM GMT+7,"R. Violet Wibowo, S.Kom",2367661825,2023,Laki - Laki,a. < 1 jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),d. YouTube,a. Tidak Pernah,1,1,4.0,2,3,4,4,4,4,3,30.0,Sedang
2026/06/27 12:53:39 AM GMT+7,Gading Kurniawan,2369033119,2023,Laki - Laki,b. 1-3 jam,d. (> 20 kali / Hampir setiap saat),c. Malam hari (Sebelum tidur),a. Instagram,c. Sering,3,3,1.0,3,3,3,2,2,4,4,28.0,Sedang
2026/06/26 05:41:11 PM GMT+7,"Adika Purnawati, M.Ak",2328364408,2023,Perempuan,d. > 5 Jam,a. (< 5 kali),d. Tengah malam (Begadang),b. TikTok,c. Sering,4,1,2.0,2,3,4,4,4,2,4,30.0,Sedang
2026/06/30 06:01:45 PM GMT+7,"Ratna Hasanah, S.E.I",2327086688,2023,Laki - Laki,c. 3 - 5 Jam,c. (11 - 20 kali),d. Tengah malam (Begadang),d. YouTube,d. Selalu,3,4,3.0,3,2,1,2,3,2,2,25.0,Sedang
2026/06/27 09:26:17 PM GMT+7,Asmadi Thamrin,2354033173,2023,Perempuan,d. > 5 Jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),b. TikTok,b. Jarang,2,4,4.0,4,1,4,2,2,2,3,28.0,Sedang
2026/06/30 04:36:04 PM GMT+7,Ir. Nasrullah Astuti,2309320489,2023,Laki - Laki,c. 3 - 5 Jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),b. TikTok,a. Tidak Pernah,2,4,2.0,3,2,2,1,4,4,2,26.0,Sedang
2026/06/30 11:09:56 PM GMT+7,Limar Zulkarnain,2372808010,2023,Perempuan,c. 3 - 5 Jam,d. (> 20 kali / Hampir setiap saat),c. Malam hari (Sebelum tidur),a. Instagram,b. Jarang,2,2,2.0,2,2,4,3,3,3,3,26.0,Sedang
2026/06/27 04:38:56 AM GMT+7,"Emong Kuswandari, S.Gz",2440862118,2024,Laki - Laki,c. 3 - 5 Jam,b. (5 - 10 kali),b. Siang hari (Istirahat kuliah),e. WhatsApp,c. Sering,2,2,4.0,1,4,1,2,2,1,2,21.0,Sedang
2026/07/01 03:32:06 PM GMT+7,"Sabri Gunawan, S.Gz",2487002176,2024,Perempuan,c. 3 - 5 Jam,a. (< 5 kali),a. Pagi hari,c. Twitter (X),d. Selalu,3,1,2.0,4,4,2,1,3,3,2,25.0,Sedang
2026/06/30 05:55:17 PM GMT+7,"Purwa Riyanti, S.Pd",2492614293,2024,Laki - Laki,d. > 5 Jam,d. (> 20 kali / Hampir setiap saat),d. Tengah malam (Begadang),b. TikTok,a. Tidak Pernah,1,4,3.0,2,3,3,4,3,3,4,30.0,Sedang
2026/06/27 03:07:10 PM GMT+7,Dt. Wahyu Hakim,2404773586,2024,Laki - Laki,b. 1-3 jam,d. (> 20 kali / Hampir setiap saat),c. Malam hari (Sebelum tidur),a. Instagram,a. Tidak Pernah,1,3,3.0,2,2,1,3,3,4,3,25.0,Sedang
2026/06/29 07:50:22 PM GMT+7,Cornelia Permadi,2412678886,2024,Laki - Laki,c. 3 - 5 Jam,b. (5 - 10 kali),d. Tengah malam (Begadang),c. Twitter (X),d. Selalu,3,2,2.0,2,3,2,4,4,2,3,27.0,Sedang
